Viewed	Search type	Result type
(29272, 18)	None	None	None
(24391, 6)	None	None	None
(41664, 21)	None	None	None
(2320, 6)	None	None	None
(42229, 6)	None	None	None
(24963, 3)	None	None	None
(29386, 11)	None	None	None
(32689, 19)	None	None	None
(40520, 6)	None	None	None
(27802, 4)	None	None	None
(30079, 39)	None	None	None
(41905, 42)	None	None	None
(7760, 20)	None	None	None
(46211, 17)	None	None	None
(7799, 15)	None	None	None
(12940, 86)	None	None	None
(5970, 4)	None	None	None
(48022, 34)	None	None	None
(45462, 4)	None	None	None
(24475, 6)	None	None	None
(49008, 48)	None	None	None
(30653, 12)	None	None	None
(23968, 14)	None	None	None
(25003, 60)	None	None	None
(26608, 65)	None	None	None
(41151, 9)	None	None	None
(23371, 15)	None	None	None
(19190, 15)	None	None	None
(23039, 24)	None	None	None
(41483, 21)	None	None	None
(42480, 19)	None	None	None
(36081, 13)	None	None	None
(1089, 4)	None	None	None
(41467, 19)	None	None	None
(11355, 45)	None	None	None
(36724, 7)	None	None	None
(21182, 7)	Viewed	Workspace	Results
(19466, 6)	None	None	None
(40677, 21)	None	None	None
(11363, 4)	None	None	None
(41838, 38)	None	None	None
(17804, 28)	None	None	None
(39810, 7)	None	None	None
(2657, 5)	None	None	None
(3152, 13)	None	None	None
(29133, 15)	None	None	None
(12216, 25)	None	None	None
(27168, 16)	Viewed	Part	Results
(30874, 17)	None	None	None
(28247, 29)	None	None	None
(14813, 13)	None	None	None
(30940, 14)	None	None	None
(40356, 15)	None	None	None
(32184, 26)	None	None	None
(25003, 54)	None	None	None
(1367, 4)	None	None	None
(35620, 25)	None	None	None
(15170, 3)	None	None	None
(26567, 28)	None	None	None
(11109, 93)	None	None	None
(40201, 2)	None	None	None
(39589, 45)	None	None	None
(45433, 9)	None	None	None
(38287, 17)	None	None	None
(16743, 5)	None	None	None
(36242, 15)	None	None	None
(19189, 6)	None	None	None
(48535, 19)	None	None	None
(9421, 2)	None	None	None
(14330, 4)	None	None	None
(12216, 3)	None	None	None
(27209, 12)	None	None	None
(11648, 24)	None	None	None
(11374, 4)	None	None	None
(29857, 25)	None	None	None
(13690, 10)	None	None	None
(48082, 3)	None	None	None
(40210, 13)	None	None	None
(19745, 21)	None	None	None
(40687, 17)	None	None	None
(11946, 24)	None	None	None
(47620, 18)	None	None	None
(42074, 20)	None	None	None
(34186, 7)	None	None	None
(25114, 24)	None	None	None
(45690, 6)	None	None	None
(36875, 7)	None	None	None
(43086, 10)	None	None	None
(38525, 24)	None	None	None
(31817, 16)	None	None	None
(32184, 32)	None	None	None
(42731, 3)	None	None	None
(47964, 28)	None	None	None
(31234, 8)	None	None	None
(23560, 9)	None	None	None
(7712, 85)	None	None	None
(43592, 10)	None	None	None
(11326, 37)	None	None	None
(41162, 10)	None	None	None
(35384, 28)	None	None	None
(7760, 35)	None	None	None
(21612, 9)	None	None	None
(27746, 3)	None	None	None
(47633, 7)	None	None	None
(13136, 58)	None	None	None
(34692, 35)	None	None	None
(47284, 26)	None	None	None
(183, 8)	None	None	None
(28531, 13)	None	None	None
(7760, 75)	None	None	None
(7759, 22)	None	None	None
(11127, 2)	None	None	None
(12342, 10)	None	None	None
(3381, 5)	None	None	None
(12940, 73)	None	None	None
(24580, 10)	None	None	None
(49273, 20)	None	None	None
(2215, 16)	None	None	None
(23520, 6)	None	None	None
(28196, 13)	None	None	None
(6097, 125)	None	None	None
(14897, 74)	None	None	None
(18124, 33)	None	None	None
(42931, 7)	None	None	None
(29152, 9)	None	None	None
(38081, 21)	None	None	None
(21938, 15)	None	None	None
(24192, 9)	None	None	None
(692, 23)	None	None	None
(34345, 4)	None	None	None
(28026, 3)	None	None	None
(15707, 40)	None	None	None
(25570, 38)	None	None	None
(21634, 9)	None	None	None
(18572, 4)	None	None	None
(45365, 19)	None	None	None
(20772, 11)	None	None	None
(37324, 8)	None	None	None
